Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.700000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:06 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.800000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
Wed Jun  9 12:32:07 2021,-6.900000,
Time,AirwayPressure,
